,comment,rating,blind,is_deleted,menu_items,level,menu_summary,like_count,is_mine_review,phone,rating_quantity,rating_taste,is_mine_like,rating_delivery,clean,time,review_images,nickname,id,is_menu_visible,owner_reply,owner_reply.comment,owner_reply.created_at,owner_reply.id
154,치밥하기 딱 좋은 메뉴네요. 다음번엔 레드로 시켜볼게요^^ 잘 먹었습니다.,5,False,False,,1,골드킹 윙/1,0,False,ba**,5,5,False,5.0,True,2020-01-19 14:59:23,[],ba**,21433989,True,,"고객님 고맙습니다 
신제품  골드킹윙이 반응이 좋아 매우 기분이 좋습니다. 앞으로도 잘 부탁드립니다  저도 정성껏 만들어 보답하겠습니다. 감사합니다 ",2020-01-19 21:36:52,6293719.0
155,맛있었어요😍😍또 먹어야징,5,False,False,,1,"뿌링클순살/1,콜라1.25L¸/1",0,False,y9**,5,5,False,5.0,True,2020-01-18 13:24:40,[],y9**,21388241,True,,"고객님 고맙습니다 
5점 주신거 부끄럽지않게 최선을 다하겠습니다 ",2020-01-19 21:38:35,6293782.0
156,친절하시구 맛있었어요😍,5,False,False,,1,후라이드 반／양념 반/1,0,False,y9**,5,5,False,5.0,True,2020-01-18 13:24:08,[],y9**,21388217,True,,"고객님 고맙습니다 
칭찬해주셔서 감사하고 항상 겸손하게 행동 하겠습니다 ",2020-01-19 21:45:28,6293910.0
157,"👍👍👍👍👍
👏👏👏👏👏",5,False,False,,3,해바라기핫후라이드치킨/1,0,False,fa**,5,5,False,5.0,True,2020-01-12 19:25:26,"[{'full': 'https://rev-static.yogiyo.co.kr/20d419bb8b2f4aa0bcc1528b2d16b5d1.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/20d419bb8b2f4aa0bcc1528b2d16b5d1_tn.jpg'}]",fa**,21189663,True,,"고객님, 고맙습니다.
열심히 할게요~~~~",2020-01-16 14:26:55,6247902.0
158,bhc 후라이부터 다 맛있어용 ㅎㄹ,4,False,False,,1,"후라이드 반／양념 반/1,머스타드소스/1",0,False,   손,5,4,False,5.0,True,2020-01-12 11:45:58,[],손님,21168475,True,,"고객님, 고맙습니다.
맛있게 드셨다니 기분이 좋습니다.
항상 열심히 할게요~~~",2020-01-16 14:28:50,6247925.0
159,세번째 시켜 먹는데 맛초킹으로 함 시켜봤거든요 정말 맛나고 기름을 쫘악 빼줘서 바삭하고 정말 신경 써줘서 배달해주는듯 강추요,5,False,False,,3,순살맛초킹/1,0,False,gl**,5,5,False,5.0,True,2019-12-23 15:28:08,[],gl**,20493189,True,,"고객님 고맙습니다.
항상 정성을 다해 조리할게요^^",2019-12-24 21:02:11,5935318.0
160,길게 안쓸께요~^^👍👍👍👍👍👍,5,False,False,,3,"해바라기핫후라이드치킨/1,콜라1.25L¸/1",0,False,fa**,5,5,False,5.0,True,2019-12-22 20:48:57,"[{'full': 'https://rev-static.yogiyo.co.kr/fc1891d46f45ed74ba743d0a2e22f349.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/fc1891d46f45ed74ba743d0a2e22f349_tn.jpg'}]",fa**,20477253,True,,"고객님 최고의 칭찬 감사드려요~
계속 열심히 하겠습니다^^",2019-12-24 20:30:09,5935096.0
161,"치밥하기에 최고의 메뉴같습니다.
때깔보구 많이 매울것 같았는데 안맵습니다.
따듯한 밥 한공기와 먹음 정말좋을것같습니다.
항상 웃으며 배달해주시는 사장님도 감사합니다.",5,False,False,,3,레드킹 윙/1,0,False,fa**,5,5,False,5.0,True,2019-12-20 16:21:03,"[{'full': 'https://rev-static.yogiyo.co.kr/d0e6942b66fe87ea32af4124f25374a5.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/d0e6942b66fe87ea32af4124f25374a5_tn.jpg'}]",fa**,20399379,True,,"고객님 고맙습니다 
구체적이고 상세히 적어 주셔서 감사합니다   사실 리뷰이벤트가 없음에도 이렇게 리뷰를 남겨주시는건 정성이 필요한 일입니다 다시한번 감사의 말씀을 드립니다 
",2019-12-21 15:28:08,5894287.0
162,"너무너무 맛있습니다.

고민 하지마세요

그 시간마져 아까워요.
먹는 순간 행복해집니다.
고기 맛이 깔끔하고 최고 입니다.

연경 천년나무 1단지 101동에서",5,False,False,,1,후라이드 반／양념 반/1,0,False,gu**,5,5,False,5.0,True,2019-12-15 22:04:09,"[{'full': 'https://rev-static.yogiyo.co.kr/6723a65c6a0216e3e477b796da019447.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/6723a65c6a0216e3e477b796da019447_tn.jpg'}]",gu**,20274130,True,,"고객님 고맙습니다 
하루의 피로를 한방에 날려 버리는 비타민같은 리뷰 입니다
초심 잃지 않고 열심히 하겠습니다 ",2019-12-15 23:55:24,5821719.0
163,"맛쵸킹 맛나게 잘 먹었습니다.

교촌보다 훨씬 맛나고 좋았습니다 .
닭 비릿네가 날수도 있는데 

BHC같은경우 고소하고 싱싱하고 맛났습니다.

마니 파세요",5,False,False,,1,맛초킹（한마리）/1,0,False,gu**,5,5,False,3.0,True,2019-12-15 21:48:04,[],gu**,20273419,True,,"고객님 고맙습니다 
 교촌을 넘어 최고가 되도록  노력하겠습니다 
그리고 자주 뵐 수 있으면 좋겠습니다 ^^",2019-12-16 00:06:33,5822030.0
164,"역시!!최고ㅋㅋㅋ
항상 맛있게 잘 먹구 있습미다앗!!",5,False,False,,3,후라이드 반／양념 반/1,0,False,fa**,5,5,False,5.0,True,2019-12-15 21:35:10,"[{'full': 'https://rev-static.yogiyo.co.kr/a29801d3cc605ee80d8a596404592a38.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/a29801d3cc605ee80d8a596404592a38_tn.jpg'}]",fa**,20272829,True,,"고객님 
bhc 연경점을 자주 찾아 주셔서 고맙습니다
단골분들덕에 소신껏 양심껏 일할 수 있는것 같습니다^^",2019-12-16 00:18:46,5822184.0
165,"무슨 말이 필요할까요ㅎㅎ그저 맛있슴다.
기름냄새 안나고 기름기 쭉 다빼서 주시구
넘넘 맛납니다!!",5,False,False,,3,맛초킹（한마리）/1,0,False,fa**,5,5,False,5.0,True,2019-12-10 20:22:16,"[{'full': 'https://rev-static.yogiyo.co.kr/0c9c4295f1561f2788bbee7a3b55ecd8.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/0c9c4295f1561f2788bbee7a3b55ecd8_tn.jpg'}]",fa**,20061452,True,,"고객님 맛있게 드셨다니 감사드립니다.
더욱 노력하겠습니다~",2019-12-11 14:17:07,5751406.0
166,"명불허전 bhc
배달 빠르고 맛있어요^^",5,False,False,,1,해바라기후라이드치킨/1,0,False,kt**,5,5,False,5.0,True,2019-12-10 19:12:51,[],kt**,20055748,True,,"고객님 감사합니다.
앞으로도 많은 이용바랍니다~",2019-12-11 14:18:59,5751430.0
